Codigo de asignatura,Nombre de asignatura,Carrera,Tipologia de asignatura
3010171,administracion de empresas agrarias,ingenieria agricola,fund. optativa
1000003-m,algebra lineal,ingenieria agricola,fund. obligatoria
1000009-m,biologia general,ingenieria agricola,fund. obligatoria
3006948,botanica y fisiologia vegetal,ingenieria agricola,fund. obligatoria
1000004-m,calculo diferencial,ingenieria agricola,fund. obligatoria
1000005-m,calculo integral,ingenieria agricola,fund. obligatoria
3006964,calidad y conservacion de la carne,ingenieria agricola,disciplinar optativa
3006997,calidad y conservacion de la leche,ingenieria agricola,disciplinar optativa
3006950,ciencia del suelo,ingenieria agricola,disciplinar obligatoria
3006965,composicion y conservacion de frutas y hortalizas,ingenieria agricola,disciplinar optativa
3010547,construcciones rurales,ingenieria agricola,disciplinar obligatoria
3007310,control estadistico de la calidad,ingenieria agricola,disciplinar optativa
3007002,cursos de posgrado,ingenieria agricola,trabajo de grado
3007500,dibujo asistido por computador,ingenieria agricola,fund. obligatoria
3006969,diseno de sistemas de riego,ingenieria agricola,disciplinar obligatoria
3006971,drenaje de tierras agricolas,ingenieria agricola,disciplinar obligatoria
3006951,economia agropecuaria,ingenieria agricola,fund. optativa
1000007-m,ecuaciones diferenciales,ingenieria agricola,fund. obligatoria
3007493,electrotecnia,ingenieria agricola,disciplinar obligatoria
3006914,estadistica i,ingenieria agricola,fund. obligatoria
1000017-m,fisica de electricidad y magnetismo,ingenieria agricola,fund. obligatoria
1000019-m,fisica mecanica,ingenieria agricola,fund. obligatoria
3006952,formulacion y evaluacion de proyectos agrarios,ingenieria agricola,fund. optativa
3006976,fundamentos de ingenieria de riegos,ingenieria agricola,disciplinar obligatoria
3010435,fundamentos de programacion,ingenieria agricola,fund. obligatoria
3006988,fundamentos de sistemas de informacion geografica,ingenieria agricola,disciplinar optativa
3006953,fundamentos termicos,ingenieria agricola,disciplinar obligatoria
3007380,geologia aplicada,ingenieria agricola,disciplinar optativa
3007000,geologia fisica,ingenieria agricola,disciplinar optativa
3006954,geomorfologia,ingenieria agricola,disciplinar optativa
3006957,hidraulica,ingenieria agricola,disciplinar obligatoria
3006958,hidrologia y climatologia,ingenieria agricola,disciplinar obligatoria
3006991,ingenieria de procesos agroindustriales de granos y semillas,ingenieria agricola,disciplinar obligatoria
3006990,ingenieria de procesos agroindustriales de vegetales,ingenieria agricola,disciplinar obligatoria
3006977,ingenieria del ambiente rural,ingenieria agricola,disciplinar obligatoria
1000044-m,ingles i,ingenieria agricola,nivelacion
1000048-m,ingles i - virtual,ingenieria agricola,nivelacion
1000045-m,ingles ii,ingenieria agricola,nivelacion
1000049-m,ingles ii - virtual,ingenieria agricola,nivelacion
1000046-m,ingles iii,ingenieria agricola,nivelacion
1000050-m,ingles iii - virtual,ingenieria agricola,nivelacion
1000053-m,ingles iii y iv - intensivo,ingenieria agricola,nivelacion
1000047-m,ingles iv,ingenieria agricola,nivelacion
1000051-m,ingles iv - virtual,ingenieria agricola,nivelacion
3006979,instrumentacion,ingenieria agricola,disciplinar optativa
3006980,interventoria para estudio y diseno de obras en adecuacion de tierras,ingenieria agricola,disciplinar obligatoria
3006837,introduccion a la bioquimica,ingenieria agricola,fund. obligatoria
3006981,introduccion a la ingenieria agricola,ingenieria agricola,disciplinar obligatoria
3006838,laboratorio de introduccion a la bioquimica,ingenieria agricola,fund. obligatoria
3006825,laboratorio de quimica general,ingenieria agricola,fund. obligatoria
1000002-m,lecto-escritura,ingenieria agricola,nivelacion
1000001-m,matematicas basicas,ingenieria agricola,nivelacion
3006956,materiales y herramientas,ingenieria agricola,disciplinar obligatoria
3006960,mecanica de fluidos,ingenieria agricola,disciplinar obligatoria
3006982,mecanismos,ingenieria agricola,disciplinar obligatoria
3006983,mecanizacion agricola,ingenieria agricola,disciplinar obligatoria
3006829,quimica general,ingenieria agricola,fund. obligatoria
3006987,riego por aspersion avanzado,ingenieria agricola,disciplinar optativa
3007133,tecnologia de carnes,ingenieria agricola,disciplinar optativa
3006999,"tecnologia de dulces, helados y postres",ingenieria agricola,disciplinar optativa
3006998,tecnologia de quesos y leches fermentadas,ingenieria agricola,disciplinar optativa
3007401,topografia,ingenieria agricola,disciplinar obligatoria
3007001,trabajo de grado,ingenieria agricola,trabajo de grado
3006992,transformacion de frutas y hortalizas,ingenieria agricola,disciplinar optativa
3010171,administracion de empresas agrarias,ingenieria agronomica,disciplinar obligatoria
3011098,agroclimatologia,ingenieria agronomica,disciplinar obligatoria
3011064,agroecologia,ingenieria agronomica,disciplinar optativa
3010622,agroecosistemas y sistemas de produccion,ingenieria agronomica,disciplinar obligatoria
3007006,bioestadistica i,ingenieria agronomica,fund. obligatoria
3007007,bioestadistica ii,ingenieria agronomica,fund. obligatoria
3007008,biofisica general,ingenieria agronomica,fund. obligatoria
3007009,biologia celular y molecular,ingenieria agronomica,fund. obligatoria
3006828,bioquimica,ingenieria agronomica,fund. obligatoria
3007010,biotecnologia vegetal,ingenieria agronomica,disciplinar obligatoria
3007011,botanica general y economica,ingenieria agronomica,fund. obligatoria
1000004-m,calculo diferencial,ingenieria agronomica,fund. obligatoria
1000005-m,calculo integral,ingenieria agronomica,fund. obligatoria
3006950,ciencia del suelo,ingenieria agronomica,disciplinar obligatoria
3007067,cursos de posgrado,ingenieria agronomica,trabajo de grado
3007019,desarrollo rural sostenible,ingenieria agronomica,fund. obligatoria
3011012,ecologia general,ingenieria agronomica,disciplinar obligatoria
3006951,economia agropecuaria,ingenieria agronomica,disciplinar obligatoria
3007023,entomologia economica,ingenieria agronomica,disciplinar obligatoria
3007024,entomologia general,ingenieria agronomica,disciplinar obligatoria
3007028,fertilidad del suelo,ingenieria agronomica,disciplinar obligatoria
1000019-m,fisica mecanica,ingenieria agronomica,fund. obligatoria
3007029,fisiologia de la produccion vegetal,ingenieria agronomica,disciplinar obligatoria
3007030,fisiologia de la reproduccion vegetal,ingenieria agronomica,disciplinar obligatoria
3007033,fisiologia vegetal,ingenieria agronomica,disciplinar obligatoria
3007034,fitomejoramiento,ingenieria agronomica,disciplinar obligatoria
3007035,fitopatologia,ingenieria agronomica,disciplinar obligatoria
3006952,formulacion y evaluacion de proyectos agrarios,ingenieria agronomica,disciplinar obligatoria
3007040,genetica general,ingenieria agronomica,disciplinar obligatoria
3006954,geomorfologia,ingenieria agronomica,disciplinar obligatoria
1000044-m,ingles i,ingenieria agronomica,nivelacion
1000048-m,ingles i - virtual,ingenieria agronomica,nivelacion
1000045-m,ingles ii,ingenieria agronomica,nivelacion
1000049-m,ingles ii - virtual,ingenieria agronomica,nivelacion
1000046-m,ingles iii,ingenieria agronomica,nivelacion
1000050-m,ingles iii - virtual,ingenieria agronomica,nivelacion
1000053-m,ingles iii y iv - intensivo,ingenieria agronomica,nivelacion
1000047-m,ingles iv,ingenieria agronomica,nivelacion
1000051-m,ingles iv - virtual,ingenieria agronomica,nivelacion
3006837,introduccion a la bioquimica,ingenieria agronomica,fund. obligatoria
3007046,introduccion a las ciencias agronomicas,ingenieria agronomica,disciplinar obligatoria
3006825,laboratorio de quimica general,ingenieria agronomica,fund. obligatoria
1000002-m,lecto-escritura,ingenieria agronomica,nivelacion
3007047,manejo de plantas arvenses,ingenieria agronomica,disciplinar obligatoria
3007049,manejo integrado de plagas,ingenieria agronomica,disciplinar obligatoria
3007050,manejo y conservacion de suelos,ingenieria agronomica,disciplinar obligatoria
3007073,maquinaria y mecanizacion agricola,ingenieria agronomica,disciplinar obligatoria
1000001-m,matematicas basicas,ingenieria agronomica,nivelacion
3007053,microbiologia,ingenieria agronomica,disciplinar obligatoria
3007556,modelos de produccion en la agricultura,ingenieria agronomica,disciplinar optativa
3010831,planificacion y seguimiento de sistemas de produccion agricola,ingenieria agronomica,disciplinar optativa
3007059,practica profesional,ingenieria agronomica,disciplinar obligatoria
3006829,quimica general,ingenieria agronomica,fund. obligatoria
3006807,riegos y drenajes,ingenieria agronomica,disciplinar obligatoria
3007065,sistemas de produccion agroindustriales,ingenieria agronomica,disciplinar optativa
3007066,trabajo de grado,ingenieria agronomica,trabajo de grado
3010171,administracion de empresas agrarias,ingenieria forestal,disciplinar obligatoria
1000003-m,algebra lineal,ingenieria forestal,fund. optativa
3007006,bioestadistica i,ingenieria forestal,fund. obligatoria
3007007,bioestadistica ii,ingenieria forestal,fund. obligatoria
3007008,biofisica general,ingenieria forestal,fund. obligatoria
1000009-m,biologia general,ingenieria forestal,fund. obligatoria
3006817,biologia molecular,ingenieria forestal,fund. optativa
3006948,botanica y fisiologia vegetal,ingenieria forestal,fund. obligatoria
1000004-m,calculo diferencial,ingenieria forestal,fund. obligatoria
1000005-m,calculo integral,ingenieria forestal,fund. obligatoria
3007072,caminos forestales,ingenieria forestal,disciplinar optativa
3006950,ciencia del suelo,ingenieria forestal,fund. obligatoria
3007074,conceptos avanzados de cosecha,ingenieria forestal,disciplinar optativa
3007075,conservacion y manejo de vida silvestre,ingenieria forestal,disciplinar optativa
3010915,crecimiento forestal,ingenieria forestal,disciplinar optativa
3007077,cuencas hidrograficas,ingenieria forestal,disciplinar obligatoria
3007492,cursos de posgrado,ingenieria forestal,trabajo de grado
3007078,dasometria,ingenieria forestal,disciplinar obligatoria
3007079,dendrocronologia,ingenieria forestal,disciplinar optativa
3007080,dendrologia,ingenieria forestal,fund. obligatoria
3010916,ecologia de humedales forestales amazonicos,ingenieria forestal,disciplinar optativa
3007082,ecologia forestal i,ingenieria forestal,disciplinar obligatoria
3007083,ecologia forestal ii,ingenieria forestal,disciplinar obligatoria
3006951,economia agropecuaria,ingenieria forestal,disciplinar optativa
3007195,economia politica i,ingenieria forestal,fund. optativa
3007084,economia y medio ambiente,ingenieria forestal,disciplinar obligatoria
3007085,ecosistemas de manglar,ingenieria forestal,disciplinar optativa
1000007-m,ecuaciones diferenciales,ingenieria forestal,fund. optativa
3008523,enfasis iii: planeacion municipal,ingenieria forestal,fund. optativa
3006800,entomologia general,ingenieria forestal,fund. optativa
3006926,estadistica bayesiana,ingenieria forestal,fund. optativa
3007089,"estructura, morfologia y propiedades de la madera",ingenieria forestal,disciplinar obligatoria
1000019-m,fisica mecanica,ingenieria forestal,fund. obligatoria
3006952,formulacion y evaluacion de proyectos agrarios,ingenieria forestal,disciplinar optativa
3010389,fundamentos de analisis,ingenieria forestal,fund. optativa
3007091,fundamentos de industrias,ingenieria forestal,disciplinar obligatoria
3010435,fundamentos de programacion,ingenieria forestal,fund. optativa
3006835,genetica,ingenieria forestal,fund. optativa
3007115,genetica y viveros forestales,ingenieria forestal,disciplinar obligatoria
3007094,geomatica,ingenieria forestal,disciplinar obligatoria
3009495,geomatica aplicada a los recursos hidricos,ingenieria forestal,disciplinar optativa
1000008-m,geometria vectorial y analitica,ingenieria forestal,fund. optativa
3006954,geomorfologia,ingenieria forestal,fund. obligatoria
3010917,gestion financiera agropecuaria,ingenieria forestal,disciplinar optativa
3007096,hidroclimatologia,ingenieria forestal,fund. obligatoria
1000044-m,ingles i,ingenieria forestal,nivelacion
1000048-m,ingles i - virtual,ingenieria forestal,nivelacion
1000045-m,ingles ii,ingenieria forestal,nivelacion
1000049-m,ingles ii - virtual,ingenieria forestal,nivelacion
1000046-m,ingles iii,ingenieria forestal,nivelacion
1000050-m,ingles iii - virtual,ingenieria forestal,nivelacion
1000053-m,ingles iii y iv - intensivo,ingenieria forestal,nivelacion
1000047-m,ingles iv,ingenieria forestal,nivelacion
1000051-m,ingles iv - virtual,ingenieria forestal,nivelacion
3010559,introduccion a la modelacion forestal,ingenieria forestal,disciplinar optativa
3007098,introduccion a las ciencias forestales,ingenieria forestal,disciplinar obligatoria
3007099,inventarios de vegetacion,ingenieria forestal,disciplinar obligatoria
3006825,laboratorio de quimica general,ingenieria forestal,fund. obligatoria
1000035-m,laboratorio de quimica organica,ingenieria forestal,fund. optativa
1000002-m,lecto-escritura,ingenieria forestal,nivelacion
1000001-m,matematicas basicas,ingenieria forestal,nivelacion
3010560,mejoramiento genetico forestal avanzado,ingenieria forestal,disciplinar optativa
3007487,naturaleza-cultura-gestion de los recursos,ingenieria forestal,fund. obligatoria
3008561,ornitologia,ingenieria forestal,disciplinar optativa
3007102,planificacion del territorio rural,ingenieria forestal,disciplinar obligatoria
3007488,politica y legislacion forestal,ingenieria forestal,fund. obligatoria
3007069,practica profesional forestal,ingenieria forestal,disciplinar optativa
3010171,administracion de empresas agrarias,zootecnia,disciplinar obligatoria
3007308,administracion de la produccion,zootecnia,disciplinar optativa
3007005,agrostologia,zootecnia,disciplinar obligatoria
1000003-m,algebra lineal,zootecnia,fund. obligatoria
3007504,alimentacion animal,zootecnia,disciplinar obligatoria
3006801,apicultura,zootecnia,disciplinar optativa
3007006,bioestadistica i,zootecnia,fund. obligatoria
3007007,bioestadistica ii,zootecnia,fund. obligatoria
3011072,bioetica y bienestar animal,zootecnia,disciplinar obligatoria
3007008,biofisica general,zootecnia,fund. obligatoria
1000009-m,biologia general,zootecnia,fund. obligatoria
3006817,biologia molecular,zootecnia,fund. obligatoria
3007120,bioseguridad y salud animal,zootecnia,disciplinar obligatoria
3006948,botanica y fisiologia vegetal,zootecnia,disciplinar obligatoria
1000004-m,calculo diferencial,zootecnia,fund. obligatoria
3006964,calidad y conservacion de la carne,zootecnia,disciplinar optativa
3006997,calidad y conservacion de la leche,zootecnia,disciplinar optativa
3006950,ciencia del suelo,zootecnia,fund. obligatoria
3007142,cursos de posgrado,zootecnia,trabajo de grado
3007019,desarrollo rural sostenible,zootecnia,disciplinar optativa
3006821,ecologia,zootecnia,fund. obligatoria
3006951,economia agropecuaria,zootecnia,disciplinar obligatoria
3007028,fertilidad del suelo,zootecnia,disciplinar obligatoria
3006952,formulacion y evaluacion de proyectos agrarios,zootecnia,disciplinar optativa
3006835,genetica,zootecnia,disciplinar obligatoria
3007135,genetica cuantitativa,zootecnia,disciplinar obligatoria
3006954,geomorfologia,zootecnia,fund. obligatoria
3009000,gestion ambiental,zootecnia,disciplinar optativa
3010161,induccion a la zootecnia,zootecnia,disciplinar obligatoria
1000044-m,ingles i,zootecnia,nivelacion
1000048-m,ingles i - virtual,zootecnia,nivelacion
1000045-m,ingles ii,zootecnia,nivelacion
1000049-m,ingles ii - virtual,zootecnia,nivelacion
1000046-m,ingles iii,zootecnia,nivelacion
1000050-m,ingles iii - virtual,zootecnia,nivelacion
1000053-m,ingles iii y iv - intensivo,zootecnia,nivelacion
1000047-m,ingles iv,zootecnia,nivelacion
1000051-m,ingles iv - virtual,zootecnia,nivelacion
3006837,introduccion a la bioquimica,zootecnia,fund. obligatoria
3009277,laboratorio de microbiologia,zootecnia,fund. obligatoria
3006825,laboratorio de quimica general,zootecnia,fund. obligatoria
1000002-m,lecto-escritura,zootecnia,nivelacion
3007122,manejo y utilizacion de pasturas,zootecnia,disciplinar obligatoria
1000001-m,matematicas basicas,zootecnia,nivelacion
3007123,mejoramiento genetico animal,zootecnia,disciplinar obligatoria
3007124,metabolismo animal,zootecnia,disciplinar obligatoria
3008596,microbiologia general,zootecnia,fund. obligatoria
3007125,nutricion animal,zootecnia,disciplinar obligatoria
3010163,produccion con cerdos,zootecnia,disciplinar optativa
3007502,produccion con pequenos rumiantes,zootecnia,disciplinar optativa
3007134,produccion de carne con bovinos,zootecnia,disciplinar optativa
3009813,produccion equina,zootecnia,disciplinar optativa
3006829,quimica general,zootecnia,fund. obligatoria
3010113,reproduccion animal,zootecnia,disciplinar obligatoria
3010842,sistemas de produccion animal,zootecnia,disciplinar obligatoria
3008994,sistemas fisiologicos i,zootecnia,disciplinar obligatoria
3008995,sistemas fisiologicos ii,zootecnia,disciplinar obligatoria
3006999,"tecnologia de dulces, helados y postres",zootecnia,disciplinar optativa
3006998,tecnologia de quesos y leches fermentadas,zootecnia,disciplinar optativa
3010319,construccion i,arquitectura,disciplinar optativa
3010283,construccion ii,arquitectura,disciplinar optativa
3006719,construccion iii,arquitectura,disciplinar optativa
3006720,construccion iv,arquitectura,disciplinar optativa
3006732,costos y presupuestos i,arquitectura,disciplinar optativa
3006795,cursos de posgrado,arquitectura,trabajo de grado
3008780,enfasis. arquitectura bioclimatica. instrumentacion ambiental 1,arquitectura,disciplinar optativa
3008523,enfasis iii: planeacion municipal,arquitectura,disciplinar optativa
3008524,enfasis iv: planeacion urbana,arquitectura,disciplinar optativa
3008776,enfasis 1. el proyecto en la arquitectura moderna,arquitectura,disciplinar optativa
3008774,enfasis 1. arquitectura bioclimatica,arquitectura,disciplinar optativa
3008775,enfasis 1. arquitectura de la vivienda,arquitectura,disciplinar optativa
3011128,enfasis 1 en diseno digital para arquitectura,arquitectura,disciplinar optativa
3007828,enfasis 1 en historia y teoria,arquitectura,disciplinar optativa
3007831,enfasis 1 en proyectacion urbanistica,arquitectura,disciplinar optativa
3007829,enfasis 1 en representacion del proyecto: gestion informatica del modelo constructivo,arquitectura,disciplinar optativa
3008778,enfasis 2. arquitectura bioclimatica,arquitectura,disciplinar optativa
3008829,enfasis 2. arquitectura de la vivienda,arquitectura,disciplinar optativa
3011295,enfasis 2 en diseno digital para arquitectura,arquitectura,disciplinar optativa
3007832,enfasis 2 en historia y teoria,arquitectura,disciplinar optativa
3007833,enfasis 2 en representacion del proyecto: modelamiento urbano con sig,arquitectura,disciplinar optativa
3007836,enfasis 3 en historia y teoria,arquitectura,disciplinar optativa
3007841,enfasis 4 en representacion del proyecto: modelamiento urbano con sig,arquitectura,disciplinar optativa
1000008-m,geometria vectorial y analitica,arquitectura,fund. optativa
3006601,historia y teoria 1,arquitectura,fund. obligatoria
3006602,historia y teoria 2,arquitectura,disciplinar obligatoria
3006603,historia y teoria 3,arquitectura,disciplinar obligatoria
3006604,historia y teoria 4,arquitectura,disciplinar obligatoria
1000044-m,ingles i,arquitectura,nivelacion
1000048-m,ingles i - virtual,arquitectura,nivelacion
1000045-m,ingles ii,arquitectura,nivelacion
1000049-m,ingles ii - virtual,arquitectura,nivelacion
1000046-m,ingles iii,arquitectura,nivelacion
1000050-m,ingles iii - virtual,arquitectura,nivelacion
1000053-m,ingles iii y iv - intensivo,arquitectura,nivelacion
1000047-m,ingles iv,arquitectura,nivelacion
1000051-m,ingles iv - virtual,arquitectura,nivelacion
3006605,introduccion historia y teoria,arquitectura,fund. obligatoria
1000002-m,lecto-escritura,arquitectura,nivelacion
3006741,materiales i,arquitectura,fund. optativa
3006780,materiales ii,arquitectura,fund. optativa
3006781,materiales iii,arquitectura,fund. optativa
3010220,patologia i,arquitectura,disciplinar optativa
3006787,patologia ii,arquitectura,disciplinar optativa
3006762,programacion de obras i,arquitectura,disciplinar optativa
3011119,proyectos 1,arquitectura,disciplinar obligatoria
3011120,proyectos 2,arquitectura,disciplinar obligatoria
3011121,proyectos 3,arquitectura,disciplinar obligatoria
3011122,proyectos 4,arquitectura,disciplinar obligatoria
3011123,proyectos 5,arquitectura,disciplinar obligatoria
3011124,proyectos 6,arquitectura,disciplinar obligatoria
3011125,proyectos 7,arquitectura,disciplinar obligatoria
3011126,proyectos 8,arquitectura,disciplinar obligatoria
3011127,proyectos 9,arquitectura,disciplinar obligatoria
3006615,representacion del proyecto 1,arquitectura,fund. optativa
3006616,representacion del proyecto 2,arquitectura,fund. obligatoria
3006617,representacion del proyecto 3,arquitectura,disciplinar obligatoria
3006618,representacion del proyecto 4,arquitectura,disciplinar obligatoria
3006619,representacion del proyecto 5,arquitectura,disciplinar obligatoria
3006620,representacion del proyecto 6,arquitectura,disciplinar obligatoria
3006792,seminario de investigacion,arquitectura,disciplinar obligatoria
3011177,tecnologia del proyecto 1,arquitectura,fund. optativa
3011178,tecnologia del proyecto 2,arquitectura,fund. obligatoria
3011179,tecnologia del proyecto 3,arquitectura,disciplinar obligatoria
3011180,tecnologia del proyecto 4,arquitectura,disciplinar obligatoria
3011181,tecnologia del proyecto 5,arquitectura,disciplinar obligatoria
3011182,tecnologia del proyecto 6,arquitectura,disciplinar obligatoria
3006794,trabajo de grado,arquitectura,trabajo de grado
3006600,urbanistica 1,arquitectura,fund. obligatoria
3006627,urbanistica 2,arquitectura,disciplinar obligatoria
3006793,urbanistica 3,arquitectura,disciplinar obligatoria
3006628,urbanistica 4,arquitectura,disciplinar obligatoria
3006629,urbanistica 5,arquitectura,disciplinar obligatoria
3010611,aproximacion a los procesos ceramicos,artes plasticas,disciplinar optativa
3010614,arte y ciudad: de la escultura expandida al colectivismo y la participacion,artes plasticas,disciplinar optativa
3009875,arte y documento,artes plasticas,disciplinar optativa
3009837,basico espacio i,artes plasticas,fund. obligatoria
3010734,basico imagen i,artes plasticas,fund. obligatoria
3010735,basico imagen ii,artes plasticas,fund. optativa
3006710,cursos de posgrado,artes plasticas,trabajo de grado
3009879,herramientas digitales i,artes plasticas,fund. optativa
3006669,historia del arte i,artes plasticas,fund. obligatoria
3010698,historia del arte ii,artes plasticas,disciplinar obligatoria
3006671,historia del arte iii,artes plasticas,disciplinar obligatoria
3010609,historia del performance 1,artes plasticas,disciplinar optativa
3010608,historia del performance 2,artes plasticas,disciplinar optativa
1000044-m,ingles i,artes plasticas,nivelacion
1000048-m,ingles i - virtual,artes plasticas,nivelacion
1000045-m,ingles ii,artes plasticas,nivelacion
1000049-m,ingles ii - virtual,artes plasticas,nivelacion
1000046-m,ingles iii,artes plasticas,nivelacion
1000050-m,ingles iii - virtual,artes plasticas,nivelacion
1000053-m,ingles iii y iv - intensivo,artes plasticas,nivelacion
1000047-m,ingles iv,artes plasticas,nivelacion
1000051-m,ingles iv - virtual,artes plasticas,nivelacion
3009841,laboratorio de dibujo i,artes plasticas,disciplinar optativa
3009843,laboratorio de escultura i,artes plasticas,disciplinar optativa
3010736,laboratorio de fotografia i,artes plasticas,disciplinar optativa
3010737,laboratorio de fotografia ii,artes plasticas,disciplinar optativa
3006683,laboratorio de grafica i,artes plasticas,disciplinar optativa
3009882,laboratorio de grafica ii,artes plasticas,disciplinar optativa
3009885,laboratorio de medios no tradicionales,artes plasticas,disciplinar optativa
3009848,laboratorio de pintura i,artes plasticas,disciplinar optativa
3009887,laboratorio de tecnicas graficas,artes plasticas,disciplinar optativa
3009888,laboratorio de tecnicas pictoricas,artes plasticas,disciplinar optativa
3009850,laboratorio de video i,artes plasticas,disciplinar optativa
1000002-m,lecto-escritura,artes plasticas,nivelacion
1000001-m,matematicas basicas,artes plasticas,nivelacion
3010636,practicas artisticas contemporaneas en colombia,artes plasticas,disciplinar optativa
3009852,practicas artisticas i,artes plasticas,fund. optativa
3009892,realizacion documental,artes plasticas,disciplinar optativa
3009855,seminario de investigacion i,artes plasticas,disciplinar obligatoria
3009856,seminario de investigacion ii,artes plasticas,disciplinar obligatoria
3009854,seminario i,artes plasticas,disciplinar obligatoria
3006700,seminario ii,artes plasticas,disciplinar obligatoria
3006701,seminario iii,artes plasticas,disciplinar obligatoria
3009857,taller i,artes plasticas,disciplinar obligatoria
3009858,taller ii,artes plasticas,disciplinar obligatoria
3009859,taller iii,artes plasticas,disciplinar obligatoria
3009860,taller iv,artes plasticas,disciplinar obligatoria
3009861,taller v,artes plasticas,disciplinar obligatoria
3009862,taller vi,artes plasticas,disciplinar obligatoria
3009863,taller vii,artes plasticas,disciplinar obligatoria
3009864,trabajo de grado,artes plasticas,trabajo de grado
3006712,analisis estructural i -cnt,construccion,fund. obligatoria
3006713,analisis estructural ii - cnt,construccion,fund. obligatoria
1000004-m,calculo diferencial,construccion,fund. obligatoria
1000005-m,calculo integral,construccion,fund. optativa
3007527,ciudad y ambiente,construccion,disciplinar optativa
3007496,construccion de infraestructura vial,construccion,disciplinar optativa
3010319,construccion i,construccion,disciplinar obligatoria
3010283,construccion ii,construccion,disciplinar obligatoria
3006719,construccion iii,construccion,disciplinar obligatoria
3006720,construccion iv,construccion,disciplinar obligatoria
3009552,"construccion, naturaleza y cultura",construccion,fund. optativa
3006721,construccion sostenible,construccion,fund. optativa
3006722,construccion v,construccion,disciplinar obligatoria
3006723,construccion vi,construccion,disciplinar obligatoria
3006724,construccion vii,construccion,disciplinar obligatoria
3006725,construccion viii,construccion,disciplinar optativa
3009039,control de costos,construccion,disciplinar optativa
3006729,controles de obra i,construccion,disciplinar obligatoria
3009041,controles de programacion,construccion,disciplinar optativa
3006732,costos y presupuestos i,construccion,disciplinar obligatoria
3006716,cursos de posgrado,construccion,trabajo de grado
3010510,derecho laboral,construccion,disciplinar optativa
3010403,derecho para la admnistracion,construccion,fund. optativa
1000007-m,ecuaciones diferenciales,construccion,fund. optativa
3008523,enfasis iii: planeacion municipal,construccion,disciplinar optativa
3008524,enfasis iv: planeacion urbana,construccion,disciplinar optativa
3009926,etnografia de la ciudad,construccion,disciplinar optativa
1000019-m,fisica mecanica,construccion,fund. obligatoria
3006740,fundamentos de instalaciones tecnicas,construccion,fund. obligatoria
3010435,fundamentos de programacion,construccion,fund. optativa
3007380,geologia aplicada,construccion,fund. obligatoria
1000008-m,geometria vectorial y analitica,construccion,fund. obligatoria
3010500,gestion del talento humano,construccion,disciplinar optativa
3006743,gestion integrada de proyectos i,construccion,disciplinar obligatoria
3006745,habitat i,construccion,fund. obligatoria
3006746,habitat ii,construccion,fund. obligatoria
3006601,historia y teoria 1,construccion,fund. optativa
1000044-m,ingles i,construccion,nivelacion
1000048-m,ingles i - virtual,construccion,nivelacion
1000045-m,ingles ii,construccion,nivelacion
1000049-m,ingles ii - virtual,construccion,nivelacion
1000046-m,ingles iii,construccion,nivelacion
1000050-m,ingles iii - virtual,construccion,nivelacion
1000053-m,ingles iii y iv - intensivo,construccion,nivelacion
1000047-m,ingles iv,construccion,nivelacion
1000051-m,ingles iv - virtual,construccion,nivelacion
3006605,introduccion historia y teoria,construccion,fund. obligatoria
1000002-m,lecto-escritura,construccion,nivelacion
3006760,legislacion laboral y publica,construccion,disciplinar obligatoria
1000001-m,matematicas basicas,construccion,nivelacion
3006741,materiales i,construccion,disciplinar obligatoria
3006780,materiales ii,construccion,disciplinar obligatoria
3006781,materiales iii,construccion,disciplinar obligatoria
3006782,materiales iv,construccion,disciplinar obligatoria
3010449,mecanica de materiales,construccion,fund. optativa
3010447,mecanica de suelos,construccion,fund. optativa
3010220,patologia i,construccion,disciplinar obligatoria
3006787,patologia ii,construccion,disciplinar obligatoria
3010221,patologia iii,construccion,disciplinar obligatoria
3007416,pavimentos,construccion,disciplinar optativa
3006762,programacion de obras i,construccion,disciplinar obligatoria
3006739,quimica de los materiales,construccion,disciplinar obligatoria
3010345,representacion del proyecto 1 cnt,construccion,fund. obligatoria
3010346,representacion del proyecto 2 cnt,construccion,fund. obligatoria
3010347,representacion del proyecto 3 cnt,construccion,fund. obligatoria
3010912,seminario de investigacion ii cnt,construccion,disciplinar optativa
3006768,sistemas de gestion,construccion,disciplinar obligatoria
3006772,taller i - cnt,construccion,disciplinar obligatoria
3006773,taller ii - cnt,construccion,disciplinar obligatoria
3006774,taller iii - cnt,construccion,disciplinar obligatoria
3006776,taller v - cnt,construccion,disciplinar optativa
3010558,tecnologia de conglomerantes,construccion,disciplinar optativa
3010918,tecnologia de la madera en la construccion,construccion,disciplinar optativa
3010425,teoria administrativa y organizacional,construccion,fund. optativa
3007401,topografia,construccion,fund. obligatoria
3006715,trabajo de grado,construccion,trabajo de grado
3006600,urbanistica 1,construccion,fund. optativa
3006627,urbanistica 2,construccion,fund. optativa
3011137,agrogestion de la informacion,arquitectura,libre eleccion
3006645,aleman a1: explora un mundo,arquitectura,libre eleccion
3011079,"amor, perdon, reconciliacion en hegel",arquitectura,libre eleccion
3010579,analisis de la genetica molecular,arquitectura,libre eleccion
3011199,antropologia filosofica y el problema de la existencia humana,arquitectura,libre eleccion
3011139,arboles y arquitectura,arquitectura,libre eleccion
3009211,"arte, ideologia y poder",arquitectura,libre eleccion
3006638,asignatura en otra univer. internac.-preg._1,arquitectura,libre eleccion
