Info_oficinas
En el bloque M2  en el piso 2  número 204  se encuentra el espacio Oficina Profesora - Lilian Posada García en el campus Robledo.
En el bloque M2  en el piso 2  número 205  se encuentra el espacio Oficina Profesores - Jaime Ignacio Vélez U.  Carlos David Hoyos O. en el campus Robledo.
En el bloque M2  en el piso 2  número 207  se encuentra el espacio Oficina Profesor - Evelio Andrés Gómez Giraldo en el campus Robledo.
En el bloque M2  en el piso 2  número 208  se encuentra el espacio Oficina de Investigación en el campus Robledo.
En el bloque M2  en el piso 2  número 209  se encuentra el espacio Oficina Profesor - Andrés Fernando Osorio Arias en el campus Robledo.
En el bloque M2  en el piso 2  número 210  se encuentra el espacio Oficina Profesor - Francisco Mauricio Toro Botero en el campus Robledo.
En el bloque M2  en el piso 2  número 211  se encuentra el espacio Oficina Profesor - Edier Vicente Aristizábal Giraldo en el campus Robledo.
En el bloque M2  en el piso 2  número 215  se encuentra el espacio Zona de Posgrado en el campus Robledo.
En el bloque M2  en el piso 2  número 221  se encuentra el espacio Aula en el campus Robledo.
En el bloque M2  en el piso 2  número 222  se encuentra el espacio Sala de Cómputo en el campus Robledo.
En el bloque M2  en el piso 3  número 301  se encuentra el espacio Departamento de Geociencias y Medio Ambiente en el campus Robledo.
En el bloque M2  en el piso 3  número 302  se encuentra el espacio Sala de Posgrado en el campus Robledo.
En el bloque M2  en el piso 3  número 303  se encuentra el espacio Sala de Posgrado en el campus Robledo.
En el bloque M2  en el piso 3  número 304  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M2  en el piso 3  número 305  se encuentra el espacio Oficina Profesor - César Javier Vinasco Vallejo en el campus Robledo.
En el bloque M2  en el piso 3  número 306  se encuentra el espacio Salón de Proyectos en el campus Robledo.
En el bloque M2  en el piso 3  número 307  se encuentra el espacio Salón de Proyectos en el campus Robledo.
En el bloque M2  en el piso 3  número 308  se encuentra el espacio Oficina Profesor - Sergio Andrés Restrepo Moreno en el campus Robledo.
En el bloque M2  en el piso 3  número 310  se encuentra el espacio Oficina Profesor - Yuley Cardona Orozco en el campus Robledo.
En el bloque M2  en el piso 3  número 311  se encuentra el espacio Oficina Oficina Profesores de Cátedra en el campus Robledo.
En el bloque M2  en el piso 3  número 312  se encuentra el espacio Oficina Profesor - Juan Carlos Loaiza Usuga en el campus Robledo.
En el bloque M2  en el piso 3  número 313  se encuentra el espacio Oficina Profesora - Gladys Rocio Bernal Franco en el campus Robledo.
En el bloque M2  en el piso 3  número 314  se encuentra el espacio Oficina Profesor - Gaspar Monsalve Mejía en el campus Robledo.
En el bloque M2  en el piso 3  número 315  se encuentra el espacio Oficina Profesor - Germán Poveda Jaramillo en el campus Robledo.
En el bloque M2  en el piso 3  número 316  se encuentra el espacio Oficina Profesor - Óscar José Mesa Sánchez en el campus Robledo.
En el bloque M2  en el piso 3  número 317  se encuentra el espacio Salón de Proyectos en el campus Robledo.
