Codigo de asignatura,Nombre de asignatura,Numero de creditos
3006720,construccion iv,3
3006732,costos y presupuestos i,2
3006795,cursos de posgrado,6
3008780,enfasis. arquitectura bioclimatica. instrumentacion ambiental 1,2
3008524,enfasis iv: planeacion urbana,4
3008776,enfasis 1. el proyecto en la arquitectura moderna,5
3008774,enfasis 1. arquitectura bioclimatica,4
3008775,enfasis 1. arquitectura de la vivienda,6
3011128,enfasis 1 en diseno digital para arquitectura,3
3007828,enfasis 1 en historia y teoria,6
3007831,enfasis 1 en proyectacion urbanistica,6
3007829,enfasis 1 en representacion del proyecto: gestion informatica del modelo constructivo,6
3008778,enfasis 2. arquitectura bioclimatica,4
3008829,enfasis 2. arquitectura de la vivienda,6
3011295,enfasis 2 en diseno digital para arquitectura,2
3007832,enfasis 2 en historia y teoria,6
3007833,enfasis 2 en representacion del proyecto: modelamiento urbano con sig,6
3007836,enfasis 3 en historia y teoria,4
3007841,enfasis 4 en representacion del proyecto: modelamiento urbano con sig,4
3006601,historia y teoria 1,2
3006602,historia y teoria 2,2
3006603,historia y teoria 3,2
3006604,historia y teoria 4,2
3006605,introduccion historia y teoria,4
3006741,materiales i,2
3006780,materiales ii,2
3006781,materiales iii,2
3010220,patologia i,2
3006787,patologia ii,2
3006762,programacion de obras i,2
3011119,proyectos 1,6
3011120,proyectos 2,6
3011121,proyectos 3,6
3011122,proyectos 4,6
3011123,proyectos 5,6
3011124,proyectos 6,6
3011125,proyectos 7,6
3011126,proyectos 8,6
3011127,proyectos 9,6
3006615,representacion del proyecto 1,4
3006616,representacion del proyecto 2,4
3006617,representacion del proyecto 3,4
3006618,representacion del proyecto 4,2
3006619,representacion del proyecto 5,2
3006620,representacion del proyecto 6,2
3006792,seminario de investigacion,2
3011177,tecnologia del proyecto 1,3
3011178,tecnologia del proyecto 2,3
3011179,tecnologia del proyecto 3,3
3011180,tecnologia del proyecto 4,3
3011181,tecnologia del proyecto 5,3
3011182,tecnologia del proyecto 6,4
3006794,trabajo de grado,6
3006600,urbanistica 1,2
3006627,urbanistica 2,2
3006793,urbanistica 3,2
3006628,urbanistica 4,2
3006629,urbanistica 5,2
3010611,aproximacion a los procesos ceramicos,4
3010614,arte y ciudad: de la escultura expandida al colectivismo y la participacion,3
3009875,arte y documento,3
3009837,basico espacio i,3
3010734,basico imagen i,3
3010735,basico imagen ii,3
3006710,cursos de posgrado,10
3009879,herramientas digitales i,3
3006669,historia del arte i,3
3010698,historia del arte ii,3
3006671,historia del arte iii,3
3010609,historia del performance 1,3
3010608,historia del performance 2,3
3009841,laboratorio de dibujo i,3
3009843,laboratorio de escultura i,3
3010736,laboratorio de fotografia i,3
3010737,laboratorio de fotografia ii,3
3006683,laboratorio de grafica i,3
3009882,laboratorio de grafica ii,3
3009885,laboratorio de medios no tradicionales,3
3009848,laboratorio de pintura i,3
3009887,laboratorio de tecnicas graficas,3
3009888,laboratorio de tecnicas pictoricas,3
3009850,laboratorio de video i,3
3010636,practicas artisticas contemporaneas en colombia,3
3009852,practicas artisticas i,3
3009892,realizacion documental,3
3009855,seminario de investigacion i,3
3009856,seminario de investigacion ii,3
3009854,seminario i,3
3006700,seminario ii,3
3006701,seminario iii,3
3009857,taller i,6
3009858,taller ii,6
3009859,taller iii,6
3009860,taller iv,6
3009861,taller v,6
3009862,taller vi,6
3009863,taller vii,6
3009864,trabajo de grado,10
3006712,analisis estructural i -cnt,2
3006713,analisis estructural ii - cnt,2
3007527,ciudad y ambiente,3
3007496,construccion de infraestructura vial,3
3009552,"construccion, naturaleza y cultura",3
3006721,construccion sostenible,3
3006722,construccion v,3
3006723,construccion vi,3
3006724,construccion vii,3
3006725,construccion viii,3
3009039,control de costos,3
3006729,controles de obra i,2
3009041,controles de programacion,3
3006716,cursos de posgrado,6
3010510,derecho laboral,3
3010403,derecho para la admnistracion,3
3009926,etnografia de la ciudad,4
3006740,fundamentos de instalaciones tecnicas,2
3010500,gestion del talento humano,3
3006743,gestion integrada de proyectos i,2
3006745,habitat i,2
3006746,habitat ii,2
3006760,legislacion laboral y publica,3
3006782,materiales iv,2
3010449,mecanica de materiales,4
3010447,mecanica de suelos,4
3010221,patologia iii,2
3007416,pavimentos,4
3006739,quimica de los materiales,2
3010345,representacion del proyecto 1 cnt,4
3010346,representacion del proyecto 2 cnt,4
3010347,representacion del proyecto 3 cnt,4
3010912,seminario de investigacion ii cnt,4
3006768,sistemas de gestion,2
3006772,taller i - cnt,4
3006773,taller ii - cnt,4
3006774,taller iii - cnt,4
3006776,taller v - cnt,4
3010558,tecnologia de conglomerantes,3
3010918,tecnologia de la madera en la construccion,3
3010425,teoria administrativa y organizacional,3
3006715,trabajo de grado,6
3011137,agrogestion de la informacion,3
3006645,aleman a1: explora un mundo,4
3011079,"amor, perdon, reconciliacion en hegel",3
3010579,analisis de la genetica molecular,4
3011199,antropologia filosofica y el problema de la existencia humana,3
3011139,arboles y arquitectura,2
3009211,"arte, ideologia y poder",3
3006638,asignatura en otra univer. internac.-preg._1,0
3006692,asignatura en otra univer. nacional - preg._1,0
3009275,bioprocesos agroindustriales,3
3008203,biotecnologia agropecuaria,4
3011254,"cambio climatico, paisaje y territorio",3
3011200,catedra africanias y sus diasporas en las americas,3
3011113,catedra agraria: plantaciones y restauracion forestal,3
3007373,catedra antioquia,3
3009509,catedra apun-50 anos,4
3011144,catedra ciudad y ciudadanias,3
1000129-M,"catedra colombiana: ciudadania, integridad y lucha contra la corrupcion",3
3007588,catedra de pensamiento ambiental: cambio ambiental global,3
3007645,"catedra de sede sobre genero, feminismos y diversidades sexuales: vivir juntxs",3
3007786,catedra en ingenieria electrica,3
3010348,"catedra estudiantil: universidad, participacion y sociedad",3
3009368,catedra gabriel trujillo: mineria y ambiente,3
1965-2025,catedra: historia intensa de medellin,3
3009065,"catedra ingenieria civil, 100 anos",3
3011296,catedra luis antonio restrepo arango:facultad de ciencias humanas; 50 anos construccion conocimiento,3
1000134-M,catedra nacional - enarmonia: anclajes imprescindibles para la educacion inclusiva en la unal,2
1000159-M,catedra nacional acciones por la sustentabilidad,3
1000158-M,catedra nacional ambiental,3
1000089-M,catedra nacional de induccion y preparacion para la vida universitaria,2
1000160-M,catedra nacional de prompt engineering,3
1000147-M,catedra nacional en transicion energetica: aproximacion desde las ciencias de la tierra,3
1000145-M,catedra nacional gestion a la adaptacion y cambio climatico en colombia,3
1000128-M,"catedra nacional: juntas, juntes y juntos. apuestas desde los estudios feministas y de genero",3
1000161-M,catedra pedro nel gomez: centros de pensamiento en ingenieria para la vida,2
1000157-M,"catedra proceso constituyente universitario en la unal: perspectiva historica, comparada y situada",3
3010712,catedra sobre la felicidad,2
3011164,"catedra viajera, arquitecta y urbanismo a traves del viaje",2
3006819,citogenetica,4
3010929,computacion cuantica,3
3011231,construccion social para la practica del habitar,4
3007014,control biologico de plagas,3
3011293,"crecimiento economico, energia y crisis medio ambiental",3
3007016,cultivo de plantas ornamentales,3
3010999,"curar, editar y publicar",2
3010760,de la secundaria a la universidad,3
3009433,de la universidad a la organizacion,3
3011145,"del proyecto a la obra, tecnica y dispositivos en la arquitectura del tropico",2
3008693,deporte formativo,2
3010555,derecho urbanistico,3
3009931,economia ecologica,3
3011146,economia y marketing,4
3006631,ecosistema urbano critico,3
3009932,"el cuento, teoria y retoricas del cuento en la literatura latinoamericana",3
3010837,el proceso de produccion desde la formacion social,3
3011001,el retorno de las brujas: mujeres en la ciencia y equidad de genero en carreras stem,2
3011313,ensenanza de las ciencias sociales: metodos y tecnicas.,3
3010829,espacio vial y forma urbana,2
3011089,estados fisiologicos y etapas en la produccion animal,4
3009510,estimacion de parametros geneticos,4
3007548,etica y voluntariado universitario y social,2
3010177,fascismo y modernidad,3
3010333,fitoquimica,3
3011002,fotografia de arquitectura,2
3008056,frances a1: explora un mundo,4
3008207,frances a2: explora un mundo,4
3007036,fruticultura,3
3011149,fundamentos de palinologia,4
3011229,"futbol, ciudad y espectaculo. estudios socioterritoriales del futbol",3
3009602,geografia historica y cultura material,4
3007643,herramientas para emprender,3
3007385,hidrologia,3
3007235,historia antigua,3
3007237,historia de america ii,3
3009491,historia de america iii,3
3007239,historia de america iv,3
3009756,historia de america prehispanica,3
3011203,"historia de las mujeres y el genero: teoria, historiografia y fuentes.",3
3007248,historia moderna,3
3009447,historia y filosofia de la tecnica,3
3009446,historia y literatura. significaciones de lo real y lo ficcional,4
3011083,humanidades ambientales i,3
3007071,ingenieria electroquimica,4
3008949,ingenieria metabolica,4
3008105,ingles intensivo b1,4
3008115,ingles intensivo b2,4
3010125,iniciacion al ejercicio profesional de la arquitectura,4
3010196,"innovacion y emprendimiento, de la creatividad a la accion",4
3011256,inteligencia artificial aplicada a modelos del territorio,3
3006989,introduccion a la electroquimica,4
3011187,introduccion a la evaluacion del riesgo ecologico y humano del uso de sustancias quimicas,3
3011092,introduccion a la gestion de datos geocientificos,3
3009359,introduccion a la ingenieria civil,2
3011110,introduccion al pensamiento estetico i,3
3011111,introduccion al pensamiento estetico ii,3
3009353,introduccion al programa de matematicas,2
3010596,la ingenieria del cuerpo humano,3
3010952,las tic en la educacion con comunidades vulnerables,4
3010341,latin y paleografia medieval,3
3011010,literatura e imagen: modos de hacer visible,3
3009786,lo sagrado como argumento de jurisdiccion territorial,4
3011095,los chicos no lloran: nuevas masculinidades en ingenierias,2
3007561,maquinaria agricola,3
3011150,medicion del desarrollo,4
3010303,metrologia industrial,3
3010344,nutricion y alimentacion de perros y gatos,2
3008142,pasantia preg. en otra universidad-intern._1,0
3007639,pasantia pregrado - insa 1,0
3007641,pasantia pregrado - insa 3,0
3006961,pasantia pregrado - paristech 1,0
3006750,pasantia pregrado - paristech 3,0
3011260,plan b: ingenieria para la vida,3
3011317,planificacion minera,3
3007627,portugues intensivo,3
3007585,practica academica especial 1,3
3006664,practica academica especial 10,2
3007621,practica academica especial 12,1
3007586,practica academica especial 2,4
3007587,practica academica especial 3,6
3007589,practica academica especial 4,1
3007598,practica academica especial 5,3
3009496,practica academica especial 6,5
3008650,practica academica especial 7,2
3006640,practica academica especial 8,3
3006641,practica academica especial 9,4
3011159,"practica artistica, memorias y patrimonio en el territorio",2
3011207,practicas curatoriales,3
3006863,procesamiento ceramico,3
3006865,proteccion radiologica,4
3011096,radio espace: relaciones entre espacio arquitectonico y espacio sonoro,2
3010128,reproduccion asistida en animales domesticos,3
1000096-M,research seminar,2
3011208,restauracion ecologica para el manejo de ecosistemas terrestres,4
3011281,retos profesionales ante la poblacion vulnerable urbana y rural,3
1000152-M,"salud mental, bienestar emocional y herramientas para la vida - un enfoque interprofesional",2
3010185,seminario de ecologia politica,4
3008607,sigueme 1,0
3008608,sigueme 2,0
3011315,sistema de produccion de codornices,3
3009665,sistemas de informacion geografica aplicados a la agricultura,4
3006808,sistematica vegetal,4
3007582,soldadura,3
3011282,sostenibilidad y sistemas de produccion animal,4
3010903,"suelos tropicales, su origen, evolucion, analisis y manejo",3
3010377,taller de historia urbano-arquitectonica: memoria y patrimonio,3
3011307,tecnicas bioclimaticas en ambientes interiores,2
3011306,tecnologias y culturas digitales,3
3007524,termodinamica y revolucion industrial,3
3011097,topicos avanzados en derecho ambiental,3
3011007,virologia,4
3007236,historia de america i,3
3007274,teorias de la sociedad y la cultura i,3
1000006-M,calculo en varias variables,4
1000020-M,"fisica de oscilaciones, ondas y optica",4
3006886,analisis numerico,4
3011063,aprendizaje automatico,4
3007847,base de datos i,3
3006830,bioinformatica,4
3008082,criptografia y seguridad,4
3007741,estructura de datos,3
1000018-M,fisica moderna,3
3010334,fundamentos de matematicas,4
3010390,fundamentos de matematicas discretas,4
3006993,grupos y anillos,4
3006929,inferencia estadistica,4
3010392,introduccion a algoritmos,4
3010476,introduccion a la inteligencia artificial,3
3009151,introduccion a la robotica,3
3006900,introduccion a la teoria de grafos,4
3006894,introduccion al algebra computacional,4
3006994,introduccion al analisis real,4
3011112,introduccion al programa de ciencias de la computacion,2
3006905,matematicas especiales,4
3011075,modelamiento matematico,4
3006934,probabilidad,4
3006935,procesos estocasticos,4
3007744,programacion orientada a objetos,3
3007865,redes y telecomunicaciones i,3
3007867,sistemas operativos,3
3010426,teoria de lenguajes de programacion,3
3007826,termodinamica general,4
3010591,topicos especiales en algoritmos,4
3010664,trabajo de grado,8
3006918,analisis de regresion,4
3006920,analisis factorial de correspondencias,4
3006922,consultoria,2
3006941,cursos de posgrado,8
3007340,diseno de experimentos,4
3006927,estadistica descriptiva y exploratoria,4
3009137,estadistica iii,4
3007815,fundamentos de biotecnologia,4
3007202,fundamentos de economia,3
3007297,ingenieria economica,3
3009270,introduccion al analisis de supervivencia,4
3009272,introduccion al analisis multivariado,4
3006931,introduccion al manejo de datos estadisticos,4
3007324,investigacion de operaciones i,3
3006906,matematicas discretas,4
3006907,metodos numericos,4
3006933,muestreo estadistico,4
3009288,programacion en lenguajes estadisticos,4
3006936,regresion no lineal,4
3009297,series de tiempo univariadas,4
3010578,simulacion estadistica,4
3006940,trabajo de grado,8
3010521,administracion financiera,3
3007811,balances de materia y energia,4
3010325,bioestadistica,3
3006802,biologia celular,4
3007012,biorremediacion,4
3006943,cursos de posgrado,8
3007814,fenomenos de transporte,4
3010524,fundamentos de mercadeo,3
3006796,fundamentos en cultivos celulares,4
3006814,ingenieria bioquimica,4
3006809,ingenieria de las reacciones biologicas,4
3006820,ingenieria genetica,4
3006812,introduccion a la ingenieria biologica,2
3010512,introduccion a las finanzas corporativas,3
3010632,introduccion al control de procesos biologicos,4
3006827,laboratorio de bioquimica,2
3007422,laboratorio de procesos biologicos,3
3007423,laboratorio de quimica analitica,2
3006798,microbiologia de alimentos,4
3007820,operaciones de transferencia de calor,4
3007821,operaciones de transferencia de cantidad de movimiento,4
3007822,operaciones de transferencia de masa,4
3007743,programacion logica y funcional,3
3007421,quimica analitica,3
3006839,quimica de alimentos,4
3007602,tratamiento biologico de aguas residuales,3
3009920,administracion de servidores y servicios en redes,3
3006841,biofisica,3
3006945,cursos de posgrado,6
3006915,estadistica ii,4
3006843,estado solido,3
3006882,fisica de radiaciones,3
3008953,fisica matematica,4
3006845,fundamentos de ingenieria de materiales,3
3006883,instrumentacion electronica,3
3006850,instrumentos opticos,4
3006851,introduccion a la ingenieria fisica,1
3006852,laboratorio de fisica moderna,1
3006854,mecanica cuantica,3
3006861,metrologia,3
3010225,optica,3
1000034-M,quimica organica,3
3007846,seminario de proyectos en ingenieria iii,4
3006872,taller i,5
3006873,taller ii,5
3006874,taller iii,5
3006875,taller iv,5
3006876,taller v-electronica digital y microcontroladores,5
3006885,algebra multilineal y formas canonicas,4
3006887,analisis vectorial,4
3006947,cursos de posgrado,8
3006889,ecuaciones diferenciales parciales: introduccion,4
3006892,integracion y series,4
3010670,introduccion a la filosofia de las matematicas,4
3006893,introduccion a la geometria algebraica,4
3006903,introduccion a la teoria de representacion de grupos,4
3009597,introduccion a la topologia diferencial,4
3006896,introduccion al analisis funcional,4
3006912,topologia algebraica i,4
3006946,trabajo de grado,8
3010463,equilibrio en sistemas reactivos y fenomenos de superficie,3
3009949,filosofia de las ciencias,4
3010841,geografia,3
3006642,historia del pensamiento economico,3
3007205,historia economica mundial,3
3007817,ingenieria de los reactores quimicos,4
3011237,introduccion a la ciencia y arte de la quimica,2
3007444,introduccion a la quimica de materiales,3
3009352,introduccion al control de procesos,3
3009533,laboratorio de quimica inorganica i,2
3007168,problemas de historia politica de colombia,3
3009289,quimica inorganica,3
3010472,simulacion de procesos quimicos,3
3007309,ciencia de los materiales,3
3007852,ingenieria de requisitos,3
3010809,introduccion a la computacion cuantica,4
3010953,mecanica de suelos avanzada,4
3011233,topicos de geometria y visualizacion medica,4
3008356,analisis de decisiones,4
3008475,diseno de experimentos avanzados,4
3010546,biologia de las celulas madre,4
1000042-B,bioquimica basica,3
3008131,biotecnologia molecular,4
3009646,carbohidratos en alimentos,4
3010020,control total de la calidad en la industria de los alimentos,4
3008124,cultivos celulares,4
3011278,diagnostico fitopatologico,4
3011041,fundamentos de programacion para ciencias biologicas,4
3008180,industrializacion de la leche,4
3008119,metodos de separacion,4
3010902,"probioticos, metabolitos, disbiosis",4
3007753,fundamentos de control,3
3008671,mecanica cuantica avanzada,4
3010943,redes neuronales y aprendizaje profundo,4
3008895,administracion regional y local,3
3010932,america latina,3
3011080,analisis de coyuntura politica,3
3007147,cooperacion internacional,3
3010119,coyuntura economica,3
3007300,cultura politica,3
3007181,cursos de posgrado,10
3007150,derecho administrativo y constitucional colombiano,3
3008899,derechos fundamentales y derecho internacional humanitario,3
3007311,dinamica de sistemas,3
3006643,evaluacion de politicas publicas,3
3010840,filosofia y teoria politica contemporanea,3
3007153,filosofia y teoria politica moderna,3
3007154,geopolitica,3
3007177,gestion y administracion publica,3
3007156,gobierno y politicas publicas,3
3007243,historia de colombia vi,3
3007245,historia del siglo xx,3
3007157,instituciones y derecho internacional publico,3
3007158,introduccion a la ciencia politica,3
3011280,investigacion i,3
3007159,investigacion ii,3
3007178,investigacion iii,3
3007160,marketing politico,3
3007261,metodos cuantitativos,3
