Codigo de asignatura,Nombre de asignatura,Numero de creditos
3007730,levantamiento artificial.,3
3007426,manejo de produccion de petroleo y gas,3
3007427,operaciones de campo,3
3007732,perfilaje de pozos,3
3009154,perforacion direccional aplicada,3
3007733,perforacion i,3
3007419,perforacion ii,3
3007431,petrologia sedimentaria,3
3010687,practica de extension,6
3010469,procesos sedimentarios y geologia de yacimientos,3
3007601,produccion por flujo natural,3
3007734,propiedades de la roca yacimiento,3
3007430,pruebas de presion y balance de materiales,3
3007736,simulacion de yacimientos,3
3010530,termodinamica del equilibrio de fases para sistemas multicomponentes,3
3007486,trabajo de grado,6
3010461,transporte y distribucion de gas,3
3009153,yacimientos no convencionales,3
3009430,analisis y diseno de algoritmos,3
3010440,calidad de software,3
3011167,ciberseguridad,3
3011093,computacion paralela,3
3010585,creacion de videojuegos,3
3007869,cursos de posgrado,6
3011019,desarrollo web i,3
3007850,diseno y construccion de productos de software,3
3007853,ingenieria de software,3
3010438,introduccion a la ingenieria de sistemas e informatica,2
3011175,optimizacion heuristica,3
3010684,practica de extension,6
3011176,procesamiento de lenguaje natural,3
3007595,redes teleinformaticas i,4
3007596,redes teleinformaticas ii,4
3007597,redes teleinformaticas iii,4
3011034,servicios en la nube,3
3007868,trabajo de grado,6
3010480,alta tension,3
3010497,analisis de sistemas de potencia,3
3010398,automatizacion de sistemas electricos,3
3007425,cursos de posgrado,6
3010482,diseno de redes de transmision y distribucion,3
3010675,fundamentos de calidad de la potencia,3
3010484,fundamentos de electronica de potencia,3
3010658,instalaciones electricas industriales y residenciales,3
3009531,introduccion a la ingenieria electrica,2
3007756,laboratorio de circuitos,1
3010538,laboratorio de maquinas electricas,2
3010661,maquinas electricas i,3
3010662,maquinas electricas ii,3
3010490,modelado de lineas de transmision,3
3010680,practica de extension,6
3010491,procesadores,3
3010421,senales y sistemas lineales,3
3010529,sistemas de generacion de energia electrica,3
3010492,sistemas de protecciones electricas,3
3007765,subestaciones electricas,3
3010494,telecomunicaciones,3
3010520,teoria electromagnetica,3
3007424,trabajo de grado,6
3007443,cursos de posgrado,6
3007779,depositos minerales y metalogenia,3
3007768,estratigrafia,3
3008724,geocronologia,3
3007780,geologia ambiental,3
3007781,geologia de campo i,3
3007769,geologia de campo ii,3
3007461,geologia de campo iii,3
3007464,geologia del cuaternario,3
3007456,geomecanica,3
3007711,geotecnia,3
3010437,introduccion a la ingenieria geologica,2
3010294,introduccion a la volcanologia,3
3007714,mineralogia,4
3007473,mineralogia optica,3
3007773,petrologia ignea,3
3007772,petrologia metamorfica,3
3010678,practica de extension,6
3008102,problemas especiales de geologia,3
3007448,recursos energeticos,3
3007718,rocas y minerales en la industria,3
3007471,sensores remotos,3
3007442,trabajo de grado,6
3010508,control estadistico de la calidad,3
3007336,cursos de posgrado,6
3010672,diseno de plantas,4
3010673,ergonomia,2
3011087,deep learning,4
3011314,control embebido,4
3010024,finanzas corporativas y derivados financieros en energia,4
3011311,formalismos de concurrencia,4
3009783,gestion de informacion e indicadores de mantenimiento,4
3010098,modelado dinamico de sistemas de potencia,4
3009808,tecnicas de lubricacion orientadas a la conservacion de confiabilidad,4
3011050,topicos de investigacion e innovacion en educacion en ingenieria,4
3008488,comportamiento del consumidor,4
3010085,gerencia financiera,4
3007812,ciclos de potencia y analisis energetico,4
3010850,incendios y explosiones de metano y polvos combustibles,4
3008372,finanzas corporativas,4
3008541,ecotoxicologia,4
3008274,hidrologia de multiples escalas,4
3011316,sistemas socioecologicos e instrumentos de gobernanza en territorios rurales,4
3008318,cimentaciones especiales,4
3008548,comportamiento mecanico de suelos tropicales,4
3008286,estructuras y modelos hidraulicos,4
3009724,fundamentos de seguridad vial,4
3008728,geotecnia de macizos rocosos,4
3008729,ingenieria sismo - geotecnica,4
3006726,instrum. geotecnica y exploracion subsuelo,4
3008316,mamposteria estructural,4
3008738,mecanica del medio continuo,4
3008438,modelacion de la demanda de transporte,4
3009669,interaccion humano computador,4
3010967,"captura, secuestro y uso de co2",4
